outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Breast cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
Breast cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
Breast cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
Breast cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
Breast cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
Breast cancer,12,243,1,(1 - 1),1,(1 - 1),1,1,1.02,(0.97 - 1.07)
Breast cancer,12,243,1,(1 - 1),1,(1 - 1),1,1,1.02,(0.97 - 1.07)
Breast cancer,12,243,1,(1 - 1),1,(1 - 1),1,1,1.02,(0.97 - 1.07)
Breast cancer,12,243,1,(1 - 1),1,(1 - 1),1,1,1.02,(0.97 - 1.07)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
Breast cancer,9,189,1.01,(0.98 - 1.04),1.01,(0.95 - 1.08),0.95,1.08,1.02,(0.91 - 1.15)
Breast cancer,9,189,1.01,(0.98 - 1.04),1.01,(0.95 - 1.08),0.95,1.08,1.02,(0.91 - 1.15)
Breast cancer,9,189,1.01,(0.98 - 1.04),1.01,(0.95 - 1.08),0.95,1.08,1.02,(0.91 - 1.15)
Breast cancer,9,189,1.01,(0.98 - 1.04),1.01,(0.95 - 1.08),0.95,1.08,1.02,(0.91 - 1.15)
Breast cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
Breast cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
Breast cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
Breast cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
Breast cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
Breast cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
Breast cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
Breast cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
Breast cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
Breast cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
Breast cancer,6,156,1.01,(0.93 - 1.11),1.02,(0.86 - 1.2),0.86,1.2,0.97,(0.75 - 1.26)
Breast cancer,6,156,1.01,(0.93 - 1.11),1.02,(0.86 - 1.2),0.86,1.2,0.97,(0.75 - 1.26)
Breast cancer,6,156,1.01,(0.93 - 1.11),1.02,(0.86 - 1.2),0.86,1.2,0.97,(0.75 - 1.26)
Breast cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
Breast cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
Breast cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
Breast cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
Breast cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
Breast cancer,4,118,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,0.92,(0.78 - 1.08)
Breast cancer,4,118,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,0.92,(0.78 - 1.08)
Breast cancer,4,118,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,0.92,(0.78 - 1.08)
Breast cancer,3,33,0.99,(0.86 - 1.13),0.99,(0.78 - 1.27),0.78,1.27,1.12,(0.82 - 1.52)
Breast cancer,3,33,0.99,(0.86 - 1.13),0.99,(0.78 - 1.27),0.78,1.27,1.12,(0.82 - 1.52)
Breast cancer,3,33,0.99,(0.86 - 1.13),0.99,(0.78 - 1.27),0.78,1.27,1.12,(0.82 - 1.52)
Breast cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
Breast cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
Breast cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
Breast cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
Breast cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
Breast cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
Breast cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
Breast cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
Breast cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
Breast cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
