outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,15,125,0.73,(0.59 - 0.9),0.74,(0.62 - 0.87),0.62,0.87,0.75,(0.64 - 0.88)
All-cause mortality,14,124,0.83,(0.75 - 0.93),0.83,(0.75 - 0.91),0.75,0.91,0.82,(0.72 - 0.94)
All-cause mortality,13,120,0.94,(0.88 - 1),0.86,(0.77 - 0.96),0.77,0.96,0.77,(0.7 - 0.85)
All-cause mortality,12,117,0.97,(0.95 - 0.99),0.94,(0.9 - 0.99),0.9,0.99,0.89,(0.81 - 0.98)
All-cause mortality,11,101,0.9,(0.8 - 1.02),0.87,(0.77 - 1),0.77,1,0.85,(0.75 - 0.96)
All-cause mortality,10,100,0.92,(0.88 - 0.96),0.85,(0.77 - 0.93),0.77,0.93,0.75,(0.64 - 0.87)
All-cause mortality,9,95,0.74,(0.66 - 0.82),0.8,(0.73 - 0.88),0.73,0.88,0.81,(0.73 - 0.89)
All-cause mortality,8,91,0.92,(0.88 - 0.95),0.84,(0.81 - 0.88),0.81,0.88,0.79,(0.75 - 0.84)
All-cause mortality,7,83,0.69,(0.65 - 0.74),0.66,(0.62 - 0.7),0.62,0.7,0.67,(0.61 - 0.73)
All-cause mortality,6,70,0.67,(0.62 - 0.73),0.58,(0.53 - 0.64),0.53,0.64,0.5,(0.46 - 0.54)
All-cause mortality,5,59,1,(1 - 1),0.91,(0.88 - 0.95),0.88,0.95,0.78,(0.71 - 0.86)
All-cause mortality,4,54,0.78,(0.64 - 0.93),0.76,(0.59 - 0.98),0.59,0.98,0.76,(0.59 - 0.98)
All-cause mortality,3,38,0.76,(0.7 - 0.84),0.65,(0.57 - 0.75),0.57,0.75,0.58,(0.5 - 0.68)
All-cause mortality,2,22,0.92,(0.8 - 1.06),0.86,(0.7 - 1.07),0.7,1.07,0.83,(0.69 - 1)
All-cause mortality,1,4,0.99,(0.88 - 1.13),1.01,(0.9 - 1.12),0.9,1.12,1.03,(0.92 - 1.15)
