outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Coronary heart disease,11,310,1,(0.95 - 1.04),0.98,(0.91 - 1.05),0.91,1.05,0.87,(0.81 - 0.93)
Coronary heart disease,10,285,0.92,(0.83 - 1.02),0.85,(0.75 - 0.97),0.75,0.97,0.75,(0.67 - 0.84)
Coronary heart disease,10,285,0.92,(0.83 - 1.02),0.85,(0.75 - 0.97),0.75,0.97,0.75,(0.67 - 0.84)
Coronary heart disease,10,285,0.92,(0.83 - 1.02),0.85,(0.75 - 0.97),0.75,0.97,0.75,(0.67 - 0.84)
Coronary heart disease,10,285,0.92,(0.83 - 1.02),0.85,(0.75 - 0.97),0.75,0.97,0.75,(0.67 - 0.84)
Coronary heart disease,9,241,0.67,(0.46 - 0.97),0.74,(0.53 - 1.04),0.53,1.04,0.75,(0.53 - 1.06)
Coronary heart disease,9,241,0.67,(0.46 - 0.97),0.74,(0.53 - 1.04),0.53,1.04,0.75,(0.53 - 1.06)
Coronary heart disease,9,241,0.67,(0.46 - 0.97),0.74,(0.53 - 1.04),0.53,1.04,0.75,(0.53 - 1.06)
Coronary heart disease,8,182,0.95,(0.91 - 0.99),0.9,(0.84 - 0.97),0.84,0.97,0.83,(0.73 - 0.95)
Coronary heart disease,8,182,0.95,(0.91 - 0.99),0.9,(0.84 - 0.97),0.84,0.97,0.83,(0.73 - 0.95)
Coronary heart disease,8,182,0.95,(0.91 - 0.99),0.9,(0.84 - 0.97),0.84,0.97,0.83,(0.73 - 0.95)
Coronary heart disease,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
Coronary heart disease,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
Coronary heart disease,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
Coronary heart disease,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
Coronary heart disease,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
Coronary heart disease,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
Coronary heart disease,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
Coronary heart disease,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
Coronary heart disease,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
Coronary heart disease,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
Coronary heart disease,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
Coronary heart disease,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
Coronary heart disease,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
Coronary heart disease,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
Coronary heart disease,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
Coronary heart disease,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
Coronary heart disease,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
Coronary heart disease,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
Coronary heart disease,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
Coronary heart disease,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
Coronary heart disease,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
Coronary heart disease,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
Coronary heart disease,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
Coronary heart disease,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
Coronary heart disease,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
Coronary heart disease,2,24,0.99,(0.99 - 1),0.99,(0.98 - 0.99),0.98,0.99,0.98,(0.96 - 0.99)
Coronary heart disease,2,24,0.99,(0.99 - 1),0.99,(0.98 - 0.99),0.98,0.99,0.98,(0.96 - 0.99)
Coronary heart disease,2,24,0.99,(0.99 - 1),0.99,(0.98 - 0.99),0.98,0.99,0.98,(0.96 - 0.99)
Coronary heart disease,2,24,0.99,(0.99 - 1),0.99,(0.98 - 0.99),0.98,0.99,0.98,(0.96 - 0.99)
Coronary heart disease,1,14,0.7,(0.61 - 0.8),0.66,(0.58 - 0.75),0.58,0.75,0.67,(0.59 - 0.77)
Coronary heart disease,1,14,0.7,(0.61 - 0.8),0.66,(0.58 - 0.75),0.58,0.75,0.67,(0.59 - 0.77)
Coronary heart disease,1,14,0.7,(0.61 - 0.8),0.66,(0.58 - 0.75),0.58,0.75,0.67,(0.59 - 0.77)
