ref_number,pa_domain_subgroup,line_id,delete,only_stratified_data?,stratified_by,first_author,outcome,overall,outcome_type,sex,sex_subgroups,n_baseline,mean_followup,tot_personyrs,n_months_excluded,total_cases,n_per_category,person_years_per_category,cases_per_category,effect_measure,least_adj_effect,least_adj_lci,least_adj_uci,no_bmi_effect,no_bmi_lci,no_bmi_uci,most_adj_effect,most_adj_lci,most_adj_uci,line_id2,study_section,m_met_h_wk
277,LTPA,11,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Women,2,27972,10.3,288112,36,300,3889,40057,27,HR,0.69,0.44,1.07,0.69,0.44,1.07,0.62,0.4,0.97,2,4,8.27
277,LTPA,12,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Women,2,27972,10.3,288112,36,300,3602,37101,38,HR,0.94,0.65,1.37,0.94,0.65,1.37,1.17,0.8,1.69,3,4,29.92
277,LTPA,13,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Men,1,31664,10.3,326139,36,2012,21051,216825,1308,HR,1,,,1,,,1,,,1,5,0
277,LTPA,14,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Men,1,31664,10.3,326139,36,2012,5808,59822,364,HR,0.96,0.83,1.11,0.96,0.83,1.11,1,0.84,1.13,2,5,7.7
277,LTPA,15,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Men,1,31664,10.3,326139,36,2012,4805,49492,340,HR,0.96,0.83,1.11,0.96,0.83,1.11,0.98,0.84,1.13,3,5,30.84
277,LTPA,16,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Women,2,27972,10.3,288112,36,1543,20481,210954,1139,HR,1,,,1,,,1,,,1,6,0
277,LTPA,17,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Women,2,27972,10.3,288112,36,1543,3889,40057,211,HR,1,0.83,1.21,1,0.83,1.21,0.94,0.77,1.13,2,6,8.27
277,LTPA,18,,Yes,Sex,Mok Y.,All-cause cancer,0,Both,Women,2,27972,10.3,288112,36,1543,3602,37101,193,HR,1,0.83,1.21,1,0.83,1.21,0.99,0.81,1.19,3,6,29.92
285,LTPA,1,,No,,Chomistek A.,Coronary heart disease,1,Both,Women,2,71018,12.2,805237,0,2411,12861,166654,665,HR,1,,,1,,,1,,,1,1,0.2
285,LTPA,2,,No,,Chomistek A.,Coronary heart disease,1,Both,Women,2,71018,12.2,805237,0,2411,18299,197848,667,HR,0.79,0.7,0.88,0.78,0.7,0.88,0.9,0.79,1.01,2,1,3.4
285,LTPA,3,,No,,Chomistek A.,Coronary heart disease,1,Both,Women,2,71018,12.2,805237,0,2411,21653,235822,663,HR,0.66,0.59,0.73,0.87,0.77,0.98,0.84,0.74,0.95,3,1,10.1
285,LTPA,4,,No,,Chomistek A.,Coronary heart disease,1,Both,Women,2,71018,12.2,805237,0,2411,18205,204913,416,HR,0.51,0.45,0.57,0.64,0.56,0.73,0.7,0.61,0.8,4,1,20.3
285,LTPA,5,,No,,Chomistek A.,Stroke,1,Both,Women,2,71018,12.2,806809,0,2050,12861,166798,527,HR,1,,,1,,,1,,,1,2,0.2
285,LTPA,6,,No,,Chomistek A.,Stroke,1,Both,Women,2,71018,12.2,806809,0,2050,18299,198065,563,HR,0.84,0.74,0.95,0.89,0.78,1.02,0.92,0.8,1.05,2,2,3.4
285,LTPA,7,,No,,Chomistek A.,Stroke,1,Both,Women,2,71018,12.2,806809,0,2050,21653,236427,561,HR,0.71,0.63,0.8,0.79,0.7,0.9,0.83,0.73,0.95,3,2,10.1
285,LTPA,8,,No,,Chomistek A.,Stroke,1,Both,Women,2,71018,12.2,806809,0,2050,18205,205519,399,HR,0.62,0.55,0.71,0.72,0.63,0.82,0.77,0.67,0.89,4,2,20.3
285,LTPA,9,,No,,Chomistek A.,All-cause CVD ,1,Both,Women,2,71018,12.2,798935,0,4235,12861,164779,1120,HR,1,,,1,,,1,,,1,3,0.2
285,LTPA,10,,No,,Chomistek A.,All-cause CVD ,1,Both,Women,2,71018,12.2,798935,0,4235,18299,196071,1172,HR,0.82,0.72,0.93,0.88,0.77,1.01,0.91,0.83,1,2,3,3.4
285,LTPA,11,,No,,Chomistek A.,All-cause CVD ,1,Both,Women,2,71018,12.2,798935,0,4235,21653,234178,1161,HR,0.68,0.6,0.78,0.79,0.69,0.9,0.84,0.77,0.91,3,3,10.1
285,LTPA,12,,No,,Chomistek A.,All-cause CVD ,1,Both,Women,2,71018,12.2,798935,0,4235,18205,203907,782,HR,0.56,0.51,0.62,0.68,0.62,0.75,0.74,0.67,0.82,4,3,20.3
288,LTPA,1,,No,,Lee I.,Breast cancer,1,Both,Women,2,39322,4,157288,0,411,10233,40932,114,HR,1,,,1,,,1,,,1,1,0
288,LTPA,2,,No,,Lee I.,Breast cancer,1,Both,Women,2,39322,4,157288,0,411,9870,39480,113,HR,1.04,0.8,1.35,1.04,0.88,1.35,1.04,0.77,1.4,2,1,3.99
288,LTPA,3,,No,,Lee I.,Breast cancer,1,Both,Women,2,39322,4,157288,0,411,10890,43560,107,HR,0.88,0.67,1.14,0.88,0.67,1.14,0.86,0.64,1.17,3,1,11.99
288,LTPA,4,,No,,Lee I.,Breast cancer,1,Both,Women,2,39322,4,157288,0,411,8329,33316,77,HR,0.84,0.63,1.12,0.84,0.63,1.12,0.8,0.58,1.12,4,1,23.2
290,LTPA,1,,No,,Conroy M.,Endometrial cancer,1,Both,Women,2,32642,8.8,287250,0,264,8124,71491,80,HR,1,,,1,,,1,,,1,1,0.6
290,LTPA,2,,No,,Conroy M.,Endometrial cancer,1,Both,Women,2,32642,8.8,287250,0,264,8128,71526,66,HR,0.8,0.55,1.16,0.8,0.55,1.16,0.86,0.59,1.25,2,1,3.72
290,LTPA,3,,No,,Conroy M.,Endometrial cancer,1,Both,Women,2,32642,8.8,287250,0,264,8221,72345,58,HR,0.68,0.47,1,0.68,0.47,1,0.81,0.56,1.17,3,1,10.85
290,LTPA,4,,No,,Conroy M.,Endometrial cancer,1,Both,Women,2,32642,8.8,287250,0,264,8169,71887,60,HR,0.7,0.5,0.99,0.7,0.5,0.99,0.87,0.6,1.26,4,1,20.84
295,LTPA,1,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Men,1,286821,11,3011621,0,50762,81023,850736,14392,HR,1,,,,,,1,,,1,1,0.98
295,LTPA,2,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Men,1,286821,11,3011621,0,50762,63268,664318,11126,HR,0.99,0.97,1.02,,,,0.99,0.97,1.02,2,1,3.94
295,LTPA,3,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Men,1,286821,11,3011621,0,50762,80969,850169,14527,HR,1.01,0.98,1.03,,,,1.01,0.98,1.03,3,1,9.19
295,LTPA,4,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Men,1,286821,11,3011621,0,50762,61562,646397,10717,HR,0.98,0.96,1.01,,,,0.98,0.96,1.01,4,1,14.44
295,LTPA,5,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Women,2,189575,11,1990538,0,23022,70384,739031,8730,HR,1,,,,,,1,,,1,2,0.98
295,LTPA,6,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Women,2,189575,11,1990538,0,23022,40234,422459,4891,HR,0.98,0.94,1.01,,,,0.98,0.94,1.01,2,2,3.94
295,LTPA,7,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Women,2,189575,11,1990538,0,23022,47916,503113,5705,HR,0.96,0.92,0.99,,,,0.96,0.92,0.99,3,2,9.19
295,LTPA,8,,Yes,Sex,Kabat G.,All-cause cancer,0,Both,Women,2,189575,11,1990538,0,23022,31041,325934,3696,HR,0.96,0.93,1,,,,0.96,0.93,1,4,2,14.44
295,LTPA,9,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Men,1,286821,13,3011621,0,10599,81023,850736,3156,HR,1,,,,,,1,,,1,3,0.98
295,LTPA,10,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Men,1,286821,13,3011621,0,10599,63268,664318,2415,HR,0.98,0.93,1.03,,,,0.98,0.93,1.03,2,3,3.94
295,LTPA,11,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Men,1,286821,13,3011621,0,10599,80969,850169,2870,HR,0.91,0.86,0.96,,,,0.91,0.86,0.96,3,3,9.19
295,LTPA,12,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Men,1,286821,13,3011621,0,10599,61562,646397,2158,HR,0.9,0.85,0.95,,,,0.9,0.85,0.95,4,3,14.44
295,LTPA,13,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Women,2,189575,13,1990538,0,5594,70384,739031,2187,HR,1,,,,,,1,,,1,4,0.98
295,LTPA,14,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Women,2,189575,13,1990538,0,5594,40234,422459,1175,HR,0.94,0.88,1.02,,,,0.94,0.88,1.02,2,4,3.94
295,LTPA,15,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Women,2,189575,13,1990538,0,5594,47916,503113,1325,HR,0.89,0.83,0.96,,,,0.89,0.83,0.96,3,4,9.19
295,LTPA,16,,Yes,Sex,Kabat G.,All-cause cancer,0,Fatal,Women,2,189575,13,1990538,0,5594,31041,325934,907,HR,0.94,0.86,1.02,,,,0.94,0.86,1.02,4,4,14.44
295,LTPA,17,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Men,1,286821,14,3011621,0,55814,81023,850736,18669,HR,1,,,,,,1,,,1,5,0.98
295,LTPA,18,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Men,1,286821,14,3011621,0,55814,63268,664318,11954,HR,0.82,0.8,0.84,,,,0.82,0.8,0.84,2,5,3.94
295,LTPA,19,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Men,1,286821,14,3011621,0,55814,80969,850169,14552,HR,0.78,0.76,0.8,,,,0.78,0.76,0.8,3,5,9.19
295,LTPA,20,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Men,1,286821,14,3011621,0,55814,61562,646397,10639,HR,0.75,0.73,0.77,,,,0.75,0.73,0.77,4,5,14.44
295,LTPA,21,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Women,2,189575,14,1990538,0,25619,70384,739031,11010,HR,1,,,,,,1,,,1,6,0.98
295,LTPA,22,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Women,2,189575,14,1990538,0,25619,40234,422459,5098,HR,0.81,0.78,0.84,,,,0.81,0.78,0.84,2,6,3.94
295,LTPA,23,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Women,2,189575,14,1990538,0,25619,47916,503113,5772,HR,0.77,0.74,0.8,,,,0.77,0.74,0.8,3,6,9.19
295,LTPA,24,,Yes,Sex,Kabat G.,All-cause mortality,0,Fatal,Women,2,189575,14,1990538,0,25619,31041,325934,3739,HR,0.77,0.74,0.8,,,,0.77,0.74,0.8,4,6,14.44
296,LTPA,1,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Men,1,292069,6.9,2015276,0,923,44072,304097,174,HR,1,,,1,,,1,,,1,1,0
296,LTPA,2,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Men,1,292069,6.9,2015276,0,923,38433,265188,124,HR,0.81,0.65,1.03,0.85,0.67,1.07,0.85,0.67,1.07,2,1,1.31
296,LTPA,3,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Men,1,292069,6.9,2015276,0,923,64426,444539,189,HR,0.72,0.58,0.88,0.77,0.62,0.95,0.77,0.62,0.95,3,1,3.94
296,LTPA,4,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Men,1,292069,6.9,2015276,0,923,82450,568905,254,HR,0.73,0.6,0.88,0.82,0.67,1,0.82,0.67,1,4,1,9.19
296,LTPA,5,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Men,1,292069,6.9,2015276,0,923,62688,432547,182,HR,0.68,0.55,0.84,0.76,0.61,0.94,0.76,0.61,0.95,5,1,14.44
296,LTPA,6,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Women,2,196651,6.9,1356892,0,361,44539,307319,83,HR,1,,,1,,,1,,,1,2,0
296,LTPA,7,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Women,2,196651,6.9,1356892,0,361,28472,196457,51,HR,0.99,0.7,1.41,1.06,0.74,1.51,1.07,0.75,1.52,2,2,1.31
296,LTPA,8,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Women,2,196651,6.9,1356892,0,361,41736,287978,102,HR,1.32,0.99,1.77,1.47,1.09,1.98,1.49,1.1,2.01,3,2,3.94
296,LTPA,9,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Women,2,196651,6.9,1356892,0,361,49704,342958,75,HR,0.79,0.58,1.08,0.92,0.66,1.28,0.94,0.68,1.31,4,2,9.19
296,LTPA,10,,Yes,Sex,Howard R.,Rectum cancer,0,Both,Women,2,196651,6.9,1356892,0,361,32200,222180,50,HR,0.81,0.57,1.15,0.95,0.65,1.37,0.97,0.67,1.41,5,2,14.44
297,LTPA,1,,No,,Leitzmann M.,Lung cancer,1,Both,Both,3,501148,7.2,3600331,0,6745,92150,662021,1759,HR,1,,,1,,,1,,,1,1,0
297,LTPA,2,,No,,Leitzmann M.,Lung cancer,1,Both,Both,3,501148,7.2,3600331,0,6745,68673,493358,995,HR,0.77,0.71,0.83,0.89,0.82,0.96,0.91,0.84,0.99,2,1,1.31
297,LTPA,3,,No,,Leitzmann M.,Lung cancer,1,Both,Both,3,501148,7.2,3600331,0,6745,108454,779152,1425,HR,0.67,0.62,0.72,0.86,0.82,0.93,0.89,0.83,0.96,3,1,3.94
297,LTPA,4,,No,,Leitzmann M.,Lung cancer,1,Both,Both,3,501148,7.2,3600331,0,6745,134427,965746,1534,HR,0.55,0.51,0.59,0.81,0.76,0.87,0.84,0.78,0.9,4,1,9.19
297,LTPA,5,,No,,Leitzmann M.,Lung cancer,1,Both,Both,3,501148,7.2,3600331,0,6745,97444,700054,1032,HR,0.5,0.46,0.54,0.77,0.71,0.83,0.78,0.72,0.85,5,1,14.44
299,LTPA,1,,No,,Gierach G.,Endometrial cancer,1,Both,Women,2,108851,3.8 (cases); 7.02 (non-cases),760852.6,0,1045,23685,162322.2,292,HR,1,,,1,,,1,,,1,1,0
299,LTPA,2,,No,,Gierach G.,Endometrial cancer,1,Both,Women,2,108851,3.8 (cases); 7.02 (non-cases),760852.6,0,1045,15724,110490.4,149,HR,0.78,0.64,0.95,0.77,0.63,0.93,0.84,0.69,1.02,2,1,1.31
299,LTPA,3,,No,,Gierach G.,Endometrial cancer,1,Both,Women,2,108851,3.8 (cases); 7.02 (non-cases),760852.6,0,1045,23195,162617.4,221,HR,0.77,0.65,0.92,0.74,0.62,0.89,0.88,0.73,1.04,3,1,3.94
299,LTPA,4,,No,,Gierach G.,Endometrial cancer,1,Both,Women,2,108851,3.8 (cases); 7.02 (non-cases),760852.6,0,1045,27785,195345.4,244,HR,0.7,0.59,0.83,0.66,0.56,0.79,0.85,0.72,1.02,4,1,9.19
299,LTPA,5,,No,,Gierach G.,Endometrial cancer,1,Both,Women,2,108851,3.8 (cases); 7.02 (non-cases),760852.6,0,1045,18462,130077.2,139,HR,0.6,0.49,0.73,0.56,0.46,0.68,0.77,0.63,0.95,5,1,14.44
309,LTPA,1,,No,,Hu G,Stroke,0,Both,Men,1,22841,19,420731,0,1497,6569,121111,550,HR,1,,,1,,,1,,,1,1,0
309,LTPA,2,,No,,Hu G,Stroke,0,Both,Men,1,22841,19,420731,0,1497,11756,216297,786,HR,0.8,0.72,0.89,0.8,0.72,0.89,0.84,0.75,0.94,2,1,14
309,LTPA,3,,No,,Hu G,Stroke,0,Both,Men,1,22841,19,420731,0,1497,4516,83323,161,HR,0.59,0.5,0.71,0.59,0.5,0.71,0.72,0.6,0.87,3,1,21
309,LTPA,4,,No,,Hu G,Stroke,0,Both,Women,2,24880,19,485891,0,1366,9417,197076,696,HR,1,,,1,,,1,,,1,2,0
309,LTPA,5,,No,,Hu G,Stroke,0,Both,Women,2,24880,19,485891,0,1366,12193,229716,577,HR,0.82,0.73,0.91,0.82,0.73,0.91,0.87,0.78,0.98,2,2,14
309,LTPA,6,,No,,Hu G,Stroke,0,Both,Women,2,24880,19,485891,0,1366,3270,59099,93,HR,0.67,0.54,0.83,0.67,0.54,0.83,0.77,0.62,0.97,3,2,21
309,LTPA,7,,No,,Hu G,Stroke,1,Both,Both,3,47721,19,906622,0,2863,15986,318187,1246,HR,1,,,1,,,1,,,1,3,0
309,LTPA,8,,No,,Hu G,Stroke,1,Both,Both,3,47721,19,906622,0,2863,23949,446013,1363,HR,0.81,0.75,0.87,0.81,0.75,0.87,0.86,0.79,0.93,2,3,14
309,LTPA,9,,No,,Hu G,Stroke,1,Both,Both,3,47721,19,906622,0,2863,7786,142422,254,HR,0.62,0.54,0.72,0.62,0.54,0.72,0.74,0.64,0.85,3,3,21
310,LTPA,1,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Men,1,22877,18.9,414450,0,3073,6603,119689,1097,HR,1,,,1,,,1,,,1,1,0
310,LTPA,2,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Men,1,22877,18.9,414450,0,3073,11753,212245,1652,HR,0.88,0.81,0.95,0.93,0.86,1,0.95,0.88,1.02,2,1,14
310,LTPA,3,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Men,1,22877,18.9,414450,0,3073,4521,82516,324,HR,0.63,0.55,0.71,0.73,0.65,0.83,0.84,0.74,0.95,3,1,21
310,LTPA,4,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Women,2,24963,18.9,487597,0,1587,9457,197817,877,HR,1,,,1,,,1,,,1,2,0
310,LTPA,5,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Women,2,24963,18.9,487597,0,1587,12216,230029,622,HR,0.76,0.69,0.84,0.8,0.72,0.89,0.85,0.77,0.95,2,2,14
310,LTPA,6,,Yes,Sex,Hu G,Coronary heart disease,0,Both,Women,2,24963,18.9,487597,0,1587,3290,59751,88,HR,0.58,0.47,0.73,0.64,0.51,0.8,0.77,0.62,0.96,3,2,21
320,LTPA,1,,No,,Ueshima K,All-cause mortality,1,Fatal,Both,3,10385,5.3,55161,0,999,,25925,567,HR,1,,,1,,,1,,,1,1,0
320,LTPA,2,,No,,Ueshima K,All-cause mortality,1,Fatal,Both,3,10385,5.3,55161,0,999,,10787,152,HR,0.65,0.52,0.81,0.65,0.52,0.81,0.7,0.56,0.87,2,1,3.94
320,LTPA,3,,No,,Ueshima K,All-cause mortality,1,Fatal,Both,3,10385,5.3,55161,0,999,,7814,124,HR,0.76,0.6,0.96,0.76,0.6,0.96,0.82,0.65,1.03,3,1,9.19
320,LTPA,4,,No,,Ueshima K,All-cause mortality,1,Fatal,Both,3,10385,5.3,55161,0,999,,10638,156,HR,0.62,0.5,0.77,0.62,0.5,0.77,0.7,0.56,0.88,4,1,14.44
320,LTPA,5,,No,,Ueshima K,All-cause CVD ,1,Fatal,Both,3,10385,5.3,55161,0,294,,25925,174,HR,1,,,1,,,1,,,1,2,0
320,LTPA,6,,No,,Ueshima K,All-cause CVD ,1,Fatal,Both,3,10385,5.3,55161,0,294,,10787,39,HR,0.42,0.26,0.67,0.42,0.26,0.67,0.46,0.28,0.74,2,2,3.94
320,LTPA,7,,No,,Ueshima K,All-cause CVD ,1,Fatal,Both,3,10385,5.3,55161,0,294,,7814,36,HR,0.73,0.48,1.11,0.73,0.48,1.11,0.79,0.52,1.21,3,2,9.19
320,LTPA,8,,No,,Ueshima K,All-cause CVD ,1,Fatal,Both,3,10385,5.3,55161,0,294,,10638,45,HR,0.65,0.48,0.96,0.65,0.48,0.96,0.78,0.53,1.15,4,2,14.44
320,LTPA,9,,No,,Ueshima K,All-cause cancer,1,Fatal,Both,3,10385,5.3,55161,0,332,,25925,161,HR,1,,,1,,,1,,,1,3,0
320,LTPA,10,,No,,Ueshima K,All-cause cancer,1,Fatal,Both,3,10385,5.3,55161,0,332,,10787,68,HR,1.05,0.76,1.46,1.05,0.76,1.46,1.08,0.78,1.51,2,3,3.94
320,LTPA,11,,No,,Ueshima K,All-cause cancer,1,Fatal,Both,3,10385,5.3,55161,0,332,,7814,51,HR,1.18,0.84,1.67,1.18,0.84,1.67,1.22,0.86,1.72,3,3,9.19
320,LTPA,12,,No,,Ueshima K,All-cause cancer,1,Fatal,Both,3,10385,5.3,55161,0,332,,10638,52,HR,0.79,0.56,1.13,0.79,0.56,1.13,0.82,0.58,1.17,4,3,14.44
55,LTPA,1,,Yes,Sex,Hu G,Heart failure,0,Both,Men,1,28842,18.4,513553,0,1921,2269,30897,240,HR,1,,,1,,,1,,,1,1,0
55,LTPA,2,,Yes,Sex,Hu G,Heart failure,0,Both,Men,1,28842,18.4,513553,0,1921,8745,133765,601,HR,0.68,0.59,0.79,0.68,0.59,0.79,0.79,0.68,0.92,2,1,10.79
55,LTPA,3,,Yes,Sex,Hu G,Heart failure,0,Both,Men,1,28842,18.4,513553,0,1921,17828,348891,1080,HR,0.52,0.45,0.6,0.52,0.45,0.6,0.69,0.6,0.8,3,1,27.56
55,LTPA,4,,Yes,Sex,Hu G,Heart failure,0,Both,Women,2,30336,18.4,577276,0,1693,2900,49075,346,HR,1,,,1,,,1,,,1,2,0
55,LTPA,5,,Yes,Sex,Hu G,Heart failure,0,Both,Women,2,30336,18.4,577276,0,1693,9226,162538,597,HR,0.75,0.66,0.86,0.75,0.66,0.86,0.86,0.75,0.99,2,2,10.79
55,LTPA,6,,Yes,Sex,Hu G,Heart failure,0,Both,Women,2,30336,18.4,577276,0,1693,18210,365663,750,HR,0.54,0.47,0.61,0.54,0.47,0.61,0.68,0.59,0.78,3,2,27.56
104,LTPA,1,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Women,2,8471,,102543,0,1211,2761,29519,412,RR,1,,,1,,,1,,,1,1,6.13
104,LTPA,2,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Women,2,8471,,102543,0,1211,2374,28944,339,RR,0.88,0.76,1.01,0.88,0.76,1.01,0.88,0.76,1.01,2,1,18.38
104,LTPA,3,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Women,2,8471,,102543,0,1211,3336,43395,451,RR,0.83,0.73,0.95,0.83,0.73,0.95,0.83,0.73,0.95,3,1,36.75
104,LTPA,4,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Men,1,4696,,46333,0,773,1317,11433,214,RR,1,,,1,,,1,,,1,2,6.13
104,LTPA,5,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Men,1,4696,,46333,0,773,1309,13113,221,RR,0.91,0.76,1.1,0.91,0.76,1.1,0.91,0.76,1.1,2,2,18.38
104,LTPA,6,,Yes,Sex,Paganini-Hill A,Stroke,0,Both,Men,1,4696,,46333,0,773,2070,43395,334,RR,0.85,0.72,1.01,0.85,0.72,1.01,0.85,0.72,1.01,3,2,36.75
113,LTPA,1,,No,,"Jeong, H",Stroke,1,Both,Both,3,336326,3.6,1198033,0,2213,166681,593737,1375,HR,1,,,,,,1,,,1,1,0
113,LTPA,2,,No,,"Jeong, H",Stroke,1,Both,Both,3,336326,3.6,1198033,0,2213,65813,234434,267,HR,0.85,0.74,0.97,,,,0.85,0.74,0.97,2,1,3.94
113,LTPA,3,,No,,"Jeong, H",Stroke,1,Both,Both,3,336326,3.6,1198033,0,2213,44915,159993,206,HR,0.79,0.68,0.92,,,,0.79,0.68,0.92,3,1,9.19
113,LTPA,4,,No,,"Jeong, H",Stroke,1,Both,Both,3,336326,3.6,1198033,0,2213,58917,209869,365,HR,0.78,0.69,0.89,,,,0.78,0.69,0.89,4,1,14.44
115,LTPA,1,,No,,"Park S, ",Lung cancer,1,Both,Men,1,1309144,,14331533,0,10007,626088,6853945,5449,HR,1,,,1,,,1,,,1,1,0
115,LTPA,2,,No,,"Park S, ",Lung cancer,1,Both,Men,1,1309144,,14331533,0,10007,208146,2278627,1358,HR,0.86,0.81,0.91,0.86,0.81,0.91,0.91,0.86,0.97,2,1,5.25
115,LTPA,3,,No,,"Park S, ",Lung cancer,1,Both,Men,1,1309144,,14331533,0,10007,386403,4230052,2269,HR,0.78,0.74,0.82,0.78,0.74,0.82,0.87,0.83,0.91,3,1,7.88
115,LTPA,4,,No,,"Park S, ",Lung cancer,1,Both,Men,1,1309144,,14331533,0,10007,88507,968909,931,HR,0.89,0.83,0.95,0.89,0.83,0.95,0.95,0.89,1.02,4,1,15.75
248,LTPA,1,,No,,Paganini-Hill,All-cause mortality,1,Fatal,Both,3,13799,13,181286,0,12212,2666,35025,2879,HR,1,,,1,,,1,,,1,1,0
248,LTPA,2,,No,,Paganini-Hill,All-cause mortality,1,Fatal,Both,3,13799,13,181286,0,12212,1531,20114,1455,HR,0.88,0.83,0.94,0.88,0.83,0.94,0.89,0.83,0.95,2,1,6.13
248,LTPA,3,,No,,Paganini-Hill,All-cause mortality,1,Fatal,Both,3,13799,13,181286,0,12212,2462,32345,2153,HR,0.81,0.76,0.86,0.81,0.76,0.86,0.84,0.8,0.89,3,1,12.25
