ref_number,Checked,PubmedID,Weblink,Study,Author,Year,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,mean_age_base,sd_age_base,lci_age_base,uci_age_base,pa_domain_subgroup,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,outcome_tool,pa_tool,pa_unit,pa_cat_def,other_pa_domains,tot_cases,effect_measure,"adjustments (Age, Sex)","adjustments1 (BMI, diet etc)","adjustments2 (BMI, diet etc)",pa_cat,cases,personyrs,totalpersons,effect,lci_effect,uci_effect,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj2,lci_effect2_adj2,uci_effect2_adj2,obs,Other References required for dose derivation/harmonisation,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Final Harmonised exposure (MMET-hrs/wk),Notes on exposure harmonisation,Final Harmonised exposure (MMET-hrs/wk)  FOR SENSITIVITY ANALYSIS,SEPARATOR COLUMN,Domain,Frequency,Duration,Intensity,Volume,Mean MET.hr/wk ,Median MET.hr/wk,MMET.hr/wk,Median MMET.hr/wk,Source,Status from Eoin,,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Mean Activity (MET.hr/wk) ,Median Activity (MET.hr/wk),Mean Activity (MMET.hr/wk) ,Median Activity (MMET.hr/wk),Final Harmonised exposure (MMET-hrs/wk),,Intensity Assumed?,Duration Assumed?,Midpoint  Intensity?,Midpoint  Duration?,,,Alternative Intensity - MVPA = 3.5,MET.hr/wk,MMET.hr/wk,,MET.hr/wk,MMET.hr/wk,,1_MET.hr,2_MET.hr,3_MET.hr,4_MET.hr,5_MET.hr,6_MET.hr,7_MET.hr,8_MET.hr,9_MET.hr,1_MMET.hr,2_MMET.hr,3_MMET.hr,4_MMET.hr,5_MMET.hr,6_MMET.hr,7_MMET.hr,8_MMET.hr,9_MMET.hr,,objective_calibration
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,LTPA,11.4,2.4,777578.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total physical activity,2637,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,Inactive,342,109705.0,12770,0.84,0.74,0.96,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 3, 4 and 5 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,5.99,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",5.99,,LTPA (MET.h/wk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,LTPA,11.4,2.4,777578.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total physical activity,2637,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,<16.0,532,147371.0,17154,0.95,0.85,1.07,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 3, 4 and 5 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,14.57,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",14.57,,LTPA (MET.h/wk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,LTPA,11.4,2.4,777578.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total physical activity,2637,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,16.0 - 22.3,644,196880.0,22917,0.87,0.78,0.97,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 3, 4 and 5 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,21.62,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",21.62,,LTPA (MET.h/wk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,LTPA,11.4,2.4,777578.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total physical activity,2637,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,22.3 - 33.8,466,152207.0,17717,0.78,0.69,0.88,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 3, 4 and 5 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,30.98,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",30.98,,LTPA (MET.h/wk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,TPA,11.4,2.4,684387.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total recreational activity,2284,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,Quartiles based on their distribution in the total population,607,172963.0,,1,,,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 2, 3 and 4 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,11.01,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",11.01,,TPA (MET.h/wk),,,,14.15,,,11.00555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,TPA,11.4,2.4,684387.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total recreational activity,2284,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,<28.3,606,168853.0,,1.02,0.91,1.15,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 2, 3 and 4 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,27.26,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",27.26,,TPA (MET.h/wk),,,,35.05,,,27.26111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,TPA,11.4,2.4,684387.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total recreational activity,2284,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,28.3 - 41.8,542,171208.0,,0.9,0.8,1.01,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 2, 3 and 4 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,38.73,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",38.73,,TPA (MET.h/wk),,,,49.8,,,38.73333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P,,,E3N Cohort,Tehard et al.,2006,France,Prospective cohort,"Women living in France, who are insured with a national health insurance primarily covering teachers. ",Women recruited into the cohort between June 1990 and November 1991. Women lost to follow- up between the baseline questionnaire and the second questionnaire were excluded. We also excluded women that declared a prevalent cancer at baseline other than a basal cell carcinoma or an incident first cancer other than a breast cancer and women that declared an incident ductal carcinoma in situ.,90509 ,1,0,2,,,,,TPA,11.4,2.4,684387.0,breast cancer,incidence,Self-reported incident first primary breast cancers ,,"Assessment of habitual physical activity at baseline was based on six questions on the usual distance walked daily (<500, [500-2,000[, and z2,000 m), the average number of flights of stairs climbed daily (0, [1-4], and z5), the average amount of time spent weekly doing light household activity (0, [1-4], [5-13], and z14 hours) and heavy household activity (0, [1-4], and z5 hours), and the average amount of time spent weekly doing moderate recreational activity (0, [1-4], [5-13], and z14 hours) and vigorous recreational activity (0, [1-4], and z5 hours). A recreational physical activity score was estimated by multiplying the metabolic equivalent cost (MET) of walking and moderate and vigorous recreational activities by their frequency and duration. A value of 3 METs for walking and 6 METs and 9 METs for moderate and vigorous recreational activities, respectively, was assigned, according to the Compendium of Physical Activities (9). Additionally, a total physical activity score was estimated in a similar way with all the variables describing physical activity in our questionnaire. A value of 8 METs for climbing stairs and 2.5 METs and four METs for light and heavy household activities, respectively, was assigned.",MET-hours/wk,Quartiles based on their distribution in the total population,Walking; Flight stairs; Light household activity; Vigorous household activity; Moderate recreational activity; Vigorous recreational activity; Total recreational activity,2284,rr,"Adjusted for BMI, menopausal status, HRT use, age at menarche, age at first full-term pregnancy, parity, marital status, use of oral contraceptives, first-degree family history of breast, personal history of benign breast disease, and employed (yes/no).",Adjusted for age,,41.8 - 57.8,529,171363.0,,0.85,0.75,0.95,,,,,,,"Results very similar for premenopausal and postmenopausal breast cancer risks, only results for these two subgroups combined are presented. Categories 2, 3 and 4 of PA include each other. Analysis with HRT users. Results by BMI (<25 and ?25).",,,,,,51.18,"Paper reports PA volume in MET.hrs/week. Marginalisation was carried out using the EPIC regression equation (Beeson, 2008).",51.18,,TPA (MET.h/wk),,,,65.8,,,51.17777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P,18599492,https://www.ncbi.nlm.nih.gov/pubmed/18599492,Japan Public Health Center-based Prospective Study,Inoue et al.,2008b,Japan,Prospective cohort,The Japan Public Health Center-based Prospective Study was started in 1990–1994. It targeted all registered Japanese inhabitants in 11 public health center areas who were aged 40–69 years at the beginning of the baseline survey (12),"The participants in the present study were subjects in the Japan Public Health Center-based Prospective Study who responded to a self-administered 5-year follow-up questionnaire in 1995–1999 at age 45–74 years. Initially, at baseline, 133,323 subjects were identified as being in the study population. After excluding 241 persons with non-Japanese nationality (n ¼ 51), duplicate enrollment (n ¼ 4), a late report of emigration occurring before the start of the follow-up period (n ¼ 180), or ineligibility due to an incorrect birth date (n ¼ 6), a population-based cohort of 133,082 subjects was established. After exclusion of the 13,663 persons who had died, moved out of the study area, or been lost to followup before the starting point, the remaining 119,419 subjects were considered eligible for the present study. A total of 96,566 subjects responded to the questionnaire, yielding a response rate of 81 percent.",37898 ,0,1,1,,,,,TPA,7.5,,37898.0,total cancer,incidence,"Incident cancers were identified through notification from the major hospitals in the study area and through data linkage with population-based cancer registries. Death certificates were used as a supplementary information source. The site and histology of each case were coded using the International Classification of Diseases for Oncology, Third Edition (15). In our cancer registry system, the proportion of cases for which information was available from death certificates only was 3.7 percent. For the present analysis, earliest date of diagnosis was used in cases with multiple primary cancers diagnosed at different times. A total of 4,334 newly diagnosed cancer cases were identified.",,questionnaire,Quartile median value (METs/day score),"subjects were asked about the average amount of time spent per day in three types of physical activity: heavy physical work or strenuous exercise (none, <1 hour, or  1 hour), sitting (<3, 3–<8, or  8 hours), and standing or walking (<1, 1–<3, or  3 hours). The following values were assigned as time scores for each activity: heavy physical work or strenuous exercise—0 for none, 0.5 for <1 hour, and 3 for  1 hour; sitting—1.5 for <3 hours, 5.5 for 3–<8 hours, and 7.5 for  8 hours; standing or walking—0.5 for <1 hour, 2 for 1–<3 hours, and 8.5 for  3 hours. The midpoint of the time range for each category was assigned when minimum and maximum values were presented on the questionnaire, and arbitrary values considered to have the highest validity from the validation study were assigned for the highest category. MET-hours/day were estimated by multiplying the daily time score for each activity by the MET intensity of that activity (16): for heavy physical work or strenuous exercise, 4.5; for standing or walking, 2.0; for being sedentary, 1.5; and for sleep or other passive activity, 0.9. After data were summed across all activities, subjects were grouped by sex into four exposure levels according to quartile of total METs/day score. Because the question on MET calculation incorporated all activities, including occupation, housework, leisure-time sports, etc., a separate question on the frequency of leisure-time sports and physical exercise was not included in the estimation of total physical activity level.","Heavy physical work or strenous exercise, standing or walking, sitting, daily total physical activity",2704,HR,"Adjusted for age (stratified, 5-year categories) and area (stratified, 10 public health center areas).",,"Adjusted for age (stratified, 5-year categories), area (stratified, 10 public health center areas), total energy intake (stratified, quintiles), history of diabetes (no, yes), smoking status (never smoking, past smoking, or 1–19, 20–29, or 30 cigarettes/day), alcohol intake status (almost none, occasional, or regular), body mass index (weight (kg)/height (m)2; ; <20, 20–<27, or  27), and leisure-time sports or physical exercise (<1, 1–2, or 3–4 days/week).",25.45,921,92421.0,12966,1,,,,,,,,, outcome excluding cases diagnosed within first 3 years,,,,,,0.00,marginalised by subtraction of reference TEE exposure category quartile (by sex),0.00,,DTPA,,,,25.45,,178.15,0.00,,,"Overestimate PA = Remove from analysis  /  Contacted by SO - no response, data required for calculation  /  same exposure groups as Dani above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P,,,Japan Public Health Center-based Prospective Study,Inoue et al.,2008b,Japan,Prospective cohort,The Japan Public Health Center-based Prospective Study was started in 1990–1994. It targeted all registered Japanese inhabitants in 11 public health center areas who were aged 40–69 years at the beginning of the baseline survey (12),"The participants in the present study were subjects in the Japan Public Health Center-based Prospective Study who responded to a self-administered 5-year follow-up questionnaire in 1995–1999 at age 45–74 years. Initially, at baseline, 133,323 subjects were identified as being in the study population. After excluding 241 persons with non-Japanese nationality (n ¼ 51), duplicate enrollment (n ¼ 4), a late report of emigration occurring before the start of the follow-up period (n ¼ 180), or ineligibility due to an incorrect birth date (n ¼ 6), a population-based cohort of 133,082 subjects was established. After exclusion of the 13,663 persons who had died, moved out of the study area, or been lost to followup before the starting point, the remaining 119,419 subjects were considered eligible for the present study. A total of 96,566 subjects responded to the questionnaire, yielding a response rate of 81 percent.",37898 ,0,1,1,,,,,TPA,7.5,,37898.0,total cancer,incidence,"Incident cancers were identified through notification from the major hospitals in the study area and through data linkage with population-based cancer registries. Death certificates were used as a supplementary information source. The site and histology of each case were coded using the International Classification of Diseases for Oncology, Third Edition (15). In our cancer registry system, the proportion of cases for which information was available from death certificates only was 3.7 percent. For the present analysis, earliest date of diagnosis was used in cases with multiple primary cancers diagnosed at different times. A total of 4,334 newly diagnosed cancer cases were identified.",,questionnaire,Quartile median value (METs/day score),"subjects were asked about the average amount of time spent per day in three types of physical activity: heavy physical work or strenuous exercise (none, <1 hour, or  1 hour), sitting (<3, 3–<8, or  8 hours), and standing or walking (<1, 1–<3, or  3 hours). The following values were assigned as time scores for each activity: heavy physical work or strenuous exercise—0 for none, 0.5 for <1 hour, and 3 for  1 hour; sitting—1.5 for <3 hours, 5.5 for 3–<8 hours, and 7.5 for  8 hours; standing or walking—0.5 for <1 hour, 2 for 1–<3 hours, and 8.5 for  3 hours. The midpoint of the time range for each category was assigned when minimum and maximum values were presented on the questionnaire, and arbitrary values considered to have the highest validity from the validation study were assigned for the highest category. MET-hours/day were estimated by multiplying the daily time score for each activity by the MET intensity of that activity (16): for heavy physical work or strenuous exercise, 4.5; for standing or walking, 2.0; for being sedentary, 1.5; and for sleep or other passive activity, 0.9. After data were summed across all activities, subjects were grouped by sex into four exposure levels according to quartile of total METs/day score. Because the question on MET calculation incorporated all activities, including occupation, housework, leisure-time sports, etc., a separate question on the frequency of leisure-time sports and physical exercise was not included in the estimation of total physical activity level.","Heavy physical work or strenous exercise, standing or walking, sitting, daily total physical activity",2704,HR,"Adjusted for age (stratified, 5-year categories) and area (stratified, 10 public health center areas).",,"Adjusted for age (stratified, 5-year categories), area (stratified, 10 public health center areas), total energy intake (stratified, quintiles), history of diabetes (no, yes), smoking status (never smoking, past smoking, or 1–19, 20–29, or 30 cigarettes/day), alcohol intake status (almost none, occasional, or regular), body mass index (weight (kg)/height (m)2; ; <20, 20–<27, or  27), and leisure-time sports or physical exercise (<1, 1–2, or 3–4 days/week).",31.85,575,57957.0,7822,1,0.9,1.1,,,,,,, outcome excluding cases diagnosed within first 3 years,,,,,,44.80,marginalised by subtraction of reference TEE exposure category quartile (by sex),44.80,,,,,,31.85,,222.95,44.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
