study,authors,year,ref_number,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,Description,mean_age_base,sd_age_base,lci_age_base,uci_age_base,age_subgroup,weight_cat_subgroup,occup_cat_subgroup,pa_domain_subgroup,age_range,menopausal_status,menopausal_def,smoking_subgroup,smoking_def,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,pa_tool,pa_unit,pa_cat_def,other_pa_domains,outcome_tool_baseline,outcome_tool_followup,pa_cat1,pa_cat2,pa_cat3,pa_cat4,pa_cat5,pa_cat6,pa_cat7,pa_cat8,pa_cat9,pa_cat10,MET.hr/wk_cat1,MET.hr/wk_cat2,MET.hr/wk_cat3,MET.hr/wk_cat4,MET.hr/wk_cat5,MET.hr/wk_cat6,MET.hr/wk_cat7,MET.hr/wk_cat8,MET.hr/wk_cat9,MET.hr/wk_cat10,MMET.hr/wk_cat1,MMET.hr/wk_cat2,MMET.hr/wk_cat3,MMET.hr/wk_cat4,MMET.hr/wk_cat5,MMET.hr/wk_cat6,MMET.hr/wk_cat7,MMET.hr/wk_cat8,MMET.hr/wk_cat9,MMET.hr/wk_cat10,Alt_METvalue_subgroup,Alt_MET.hr/wk_cat1,Alt_MET.hr/wk_cat2,Alt_MET.hr/wk_cat3,Alt_MET.hr/wk_cat4,Alt_MET.hr/wk_cat5,Alt_MET.hr/wk_cat6,Alt_MET.hr/wk_cat7,Alt_MET.hr/wk_cat8,Alt_MET.hr/wk_cat9,Alt_MMET.hr/wk_cat1,Alt_MMET.hr/wk_cat2,Alt_MMET.hr/wk_cat3,Alt_MMET.hr/wk_cat4,Alt_MMET.hr/wk_cat5,Alt_MMET.hr/wk_cat6,Alt_MMET.hr/wk_cat7,Alt_MMET.hr/wk_cat8,Alt_MMET.hr/wk_cat9,tot_cases,cases1,cases2,cases3,cases4,cases5,cases6,cases7,cases8,cases9,cases10,personyrs1,personyrs2,personyrs3,personyrs4,personyrs5,personyrs6,personyrs7,personyrs8,personyrs9,personyrs10,totalpersons1,totalpersons2,totalpersons3,totalpersons4,totalpersons5,totalpersons6,totalpersons7,totalpersons8,totalpersons9,totalpersons10,effect_measure,adjustments,effect1,lci_effect1,uci_effect1,effect2,lci_effect2,uci_effect2,effect3,lci_effect3,uci_effect3,effect4,lci_effect4,uci_effect4,effect5,lci_effect5,uci_effect5,effect6,lci_effect6,uci_effect6,effect7,lci_effect7,uci_effect7,effect8,lci_effect8,uci_effect8,effect9,lci_effect9,uci_effect9,effect10,lci_effect10,uci_effect10,adjustments1,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj1,lci_effect2_adj1,uci_effect2_adj1,effect3_adj1,lci_effect3_adj1,uci_effect3_adj1,effect4_adj1,lci_effect4_adj1,uci_effect4_adj1,effect5_adj1,lci_effect5_adj1,uci_effect5_adj1,effect6_adj1,lci_effect6_adj1,uci_effect6_adj1,effect7_adj1,lci_effect7_adj1,uci_effect7_adj1,effect8_adj1,lci_effect8_adj1,uci_effect8_adj1,effect9_adj1,lci_effect9_adj1,uci_effect9_adj1,effect10_adj1,lci_effect10_adj1,uci_effect10_adj1,METhday,obs,EM,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort 
study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US 
communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",5626,0,1.00,1,"6 rows - 3 for TPA: total, m, f",,,,,,,,TPA,,,,,,18.80,,45980.5,stroke,incidence,"  Evidence of stroke was ascertained via hospital reports if the discharge diagnosis contained a cerebrovascular disease code (International Classification of Diseases, 9th Revision codes 430–438), if a cerebrovascular procedure was noted in the discharge summary, or if the computed tomography (CT) or magnetic resonance imaging (MRI) report showed evidence of cerebrovascular 
disease. Medical records for potential stroke events were then sent to a central ARIC office for abstraction by a single nurse. Each record was abstracted for number, type, and severity of neurological deficits and supporting angiographic, CT, MRI, spinal tap, or autopsy evidence. Each suspected stroke event was classified by National Survey of Stroke criteria using a computer algorithm as well as a physician reviewer .",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,348,213,77,58,,,,,,,,45980.5,26126.6,22739.3,,,,,,,,,,,,,,,,,,hr,age and race-center,1.00,,,0.73,0.56,0.96,0.64,0.48,0.87,,,,,,,,,,,,,,,,,,,,,,"age, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,0.8,0.61,1.05,0.76,0.56,1.02,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort 
study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US 
communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",7443,0,0.00,2,"6 rows - 3 for TPA: total, m, f",,,,,,,,TPA,,,,,,18.80,,81283.0,stroke,incidence,"  Evidence of stroke was ascertained via hospital reports if the discharge diagnosis contained a cerebrovascular disease code (International Classification of Diseases, 9th Revision codes 430–438), if a cerebrovascular procedure was noted in the discharge summary, or if the computed tomography (CT) or magnetic resonance imaging (MRI) report showed evidence of cerebrovascular 
disease. Medical records for potential stroke events were then sent to a central ARIC office for abstraction by a single nurse. Each record was abstracted for number, type, and severity of neurological deficits and supporting angiographic, CT, MRI, spinal tap, or autopsy evidence. Each suspected stroke event was classified by National Survey of Stroke criteria using a computer algorithm as well as a physician reviewer .",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,392,283,70,39,,,,,,,,81283,31477.4,17964,,,,,,,,,,,,,,,,,,hr,age and race-center,1.00,,,0.83,0.64,1.09,0.80,0.57,1.13,,,,,,,,,,,,,,,,,,,,,,"age, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,0.98,0.75,1.29,0.94,0.67,1.33,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
Atherosclerosis Risk in Communities Study,Bell et al.,2013,6,US,Prospective cohort study,"African Americans only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the first exam between 1987 and 1989.",3707,0,0.38,3,2 rows per outcome: African American,53.30,5.8,,,,,,TPA,,,,,,17.00,,,CHD,incidence,"A CHD event was defined as a validated hospitalization for definite or probable MI or a definite CHD death. The criteria for definite or probable MI were based on combinations of chest pain symptoms, electrocardiographic changes, and cardiac biomarker levels. The criteria for definite fatal CHD were based on chest pain symptoms, history of CHD, underlying cause of death from the death certificate, and any other associated hospital information or medical history, including that from an ARIC study clinic visit",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,4.65,18.08,,,,,,,,0.00,3.62,14.06,,,,,,,,0,,,,,,,,,,,,,,,,,,,465,271,114,80,,,,,,,,,,,,,,,,,,1617,1268,822,,,,,,,,hr,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1.00,,,0.59,0.47,0.75,0.66,0.50,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,african americans,,,,,,,
Atherosclerosis Risk in Communities Study,Bell et al.,2013,6,US,Prospective cohort study,"Caucasian only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the first exam between 1987 and 1989.",10018,0,0.46,3,2 rows per outcome: caucasian,54.10,5.7,,,,,,TPA,,,,,,17.00,,,CHD,incidence,"A CHD event was defined as a validated hospitalization for definite or probable MI or a definite CHD death. The criteria for definite or probable MI were based on combinations of chest pain symptoms, electrocardiographic changes, and cardiac biomarker levels. The criteria for definite fatal CHD were based on chest pain symptoms, history of CHD, underlying cause of death from the death certificate, and any other associated hospital information or medical history, including that from an ARIC study clinic visit",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.85,19.88,,,,,,,,0.00,4.55,15.46,,,,,,,,0,,,,,,,,,,,,,,,,,,,971,248,357,366,,,,,,,,,,,,,,,,,,2030,3754,4234,,,,,,,,hr,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1.00,,,0.76,0.65,0.90,0.68,0.58,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caucasians,,,,,,,
Atherosclerosis Risk in Communities Study,Bell et al.,2013,6,US,Prospective cohort study,"African Americans only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the first exam between 1987 and 1989.",3707,0,0.38,3,2 rows per outcome: African American,53.30,5.8,,,,,,TPA,,,,,,17.00,,,CVD,incidence,"An incident CVD event, our main outcome, was defined as the first occurrence of 1) HF, 2) a definite or probable stroke, or 3) CHD, defined as a definite or probable MI or definite fatal CHD.",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,4.65,18.08,,,,,,,,0.00,3.62,14.06,,,,,,,,0,,,,,,,,,,,,,,,,,,,1039,560,304,175,,,,,,,,,,,,,,,,,,1617,1268,822,,,,,,,,hr,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1.00,,,0.65,0.56,0.75,0.59,0.49,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,african american,,,,,,,
Atherosclerosis Risk in Communities Study,Bell et al.,2013,6,US,Prospective cohort study,"Caucasian only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the first exam between 1987 and 1989.",10018,0,0.46,3,2 rows per outcome: caucasian,54.10,5.7,,,,,,TPA,,,,,,17.00,,,CVD,incidence,"An incident CVD event, our main outcome, was defined as the first occurrence of 1) HF, 2) a definite or probable stroke, or 3) CHD, defined as a definite or probable MI or definite fatal CHD.",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.85,19.88,,,,,,,,0.00,4.55,15.46,,,,,,,,0,,,,,,,,,,,,,,,,,,,1992,525,721,746,,,,,,,,,,,,,,,,,,2030,3754,4234,,,,,,,,hr,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1.00,,,0.74,0.66,0.83,0.67,0.59,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caucasian,,,,,,,
Atherosclerosis Risk in Communities Study (mini-meta-analyze),Bell et al.,2013,6,US,Prospective cohort study,"African Americans only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US 
communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",3707,0,0.38,3,2 rows per outcome: African American,53.30,5.8,,,,,,TPA,,,,,,17.00,,,Heart failure,incidence,Incident HF in the ARIC study was defined as the first occurrence of either a 1) hospitalization that included a primary or secondary diagnosis of International Classification of Diseases-9th Revision (ICD-9) discharge code of 428 (428.0 to 428.9) or 2) a death certificate with an ICD-9 code of 428 or an ICD-10 code of I50 among the listed underlying causes of death,questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,4.65,18.08,,,,,,,,0.00,3.62,14.06,,,,,,,,0,,,,,,,,,,,,,,,,,,,633,350,178,105,,,,,,,,,,,,,,,,,,1617,1268,822,,,,,,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1,,,0.62,0.51,0.75,0.59,0.47,0.74,,,,,,,,,,,,,,,,,,,,,,,results stratified by ethnicity (only african americans included in this line). Only one model was presented,,,,,,,
Atherosclerosis Risk in Communities Study (mini-meta-analyze),Bell et al.,2013,6,US,Prospective cohort study,"Caucasian only - members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US 
communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",10018,0,0.46,3,2 rows per outcome: caucasian,54.10,5.7,,,,,,TPA,,,,,,17.00,,,Heart failure,incidence,Incident HF in the ARIC study was defined as the first occurrence of either a 1) hospitalization that included a primary or secondary diagnosis of International Classification of Diseases-9th Revision (ICD-9) discharge code of 428 (428.0 to 428.9) or 2) a death certificate with an ICD-9 code of 428 or an ICD-10 code of I50 among the listed underlying causes of death,questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.85,19.88,,,,,,,,0.00,4.55,15.46,,,,,,,,0,,,,,,,,,,,,,,,,,,,1115,303,414,398,,,,,,,,,,,,,,,,,,2030,3754,4234,,,,,,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"age, sex, smoking, alcohol intake, hormone therapy use, education, and `Western' and `Prudent' dietary pattern scores",1,,,0.76,0.65,0.88,0.64,0.54,0.75,,,,,,,,,,,,,,,,,,,,,,,results stratified by ethnicity (only caucasians included in this line). Only one model was presented,,,,,,,
Australian Longitudinal Study on Women’s Health (ALSWH),Ball et al.,2009,7,Australia,cohort,"participants from the Australian 
Longitudinal Study on Women’s Health (ALSWH)","Three age cohorts of women were selected randomly from the national Medicare health insurance database (which includes all citizens and permanent residents 
of Australia)",6677,1,0.00,2,1 row,,,,,,,,TPA,,,,,,3.00,,,depression,incidence,CESD-10 scores of ? 10 were used to indicate depressive symptoms,questionnaire,MET minutes/week,"none (0 to <40 MET minutes); 
very low (40 to <300); low (300 to <600); moderate (600 to <1,200); or 
high (?1,200)",,,CESD-10,none,very low,low,moderate,high,,,,,,0.33,2.83,7.50,15.00,25.00,,,,,,0.26,2.20,5.83,11.67,19.44,,,,,,1,0.26,2.20,5.83,11.67,19.44,,,,,0.18,1.57,4.17,8.33,13.89,,,,,1683,208,333,256,390,496,,,,,,,,,,,,,,,,,,,,,,,,,,or,,1.00,,,0.72,0.58,0.90,0.58,0.46,0.72,0.60,0.49,0.74,0.54,0.45,0.66,,,,,,,,,,,,,,,,"2003 highest educational qualification, 2003 marital status, 2003 occupation, 2003 smoking status, parity status, and 2000 BMI (Model 2)",1,,,0.91,0.71,1.16,0.77,0.59,0.99,0.82,0.65,1.05,0.79,0.63,1,,,,,,,,,,,,,,,,,crude and fully adjusted model included,,,,,,,
Black Women's Health Study,Wise et al,2006,8,USA,Prospective Cohort,"Black women ages 21 to 69 years were enrolled through questionnaires mailed to subscribers of Essence magazine, members of Black professional organizations, and friends and relatives of respondents","We excluded 2,860 women who reported physician-diagnosed depression on the baseline or 1997 questionnaires, because their physical activity levels may have been influenced by depression, and 2,711 women with missing data on physical activity or covariates.",35224,1,0.00,2,1 row,,,,,,,,LTPA,,,,,,4.00,,NR,depression,incidence,CES-D score of 16 or higher,"On the 1995 and 1997 questionnaires, women reported the average number of hours (none, < 1, 1, 2, 3–4, 5–6, 7–9, and ? 10) they spent each week during the past year engaged in “walking for exercise” and “vigorous exercise (such as basketball, swimming, running, aerobics).” A separate variable was included on the 1995 questionnaire to assess “vigorous exercise during high school,” using the same frequency categories as noted earlier.",Hours per week  ,Self reported average number of hours per week (vigorous PA),,Self reported diagnosis of depression,CES - D (Centre for Epidemiologic Study Depression Scale) ,None,<1,1,2,3-4,5-6,7+,,,,0.00,2.25,4.50,9.00,15.75,24.75,33.75,,,,0.00,1.75,3.50,7.00,12.25,19.25,26.25,,,,1,0.00,1.75,3.50,7.00,12.25,19.25,26.25,,,0.00,1.25,2.50,5.00,8.75,13.75,18.75,,,9464,2489,2479,1581,1117,880,563,357,,,,,,,,,,,,,,,,,,,,,,,,or,Unadjusted ,1.00,,,0.93,0.87,1.00,0.88,0.81,0.94,0.75,0.69,0.81,0.73,0.66,0.79,0.85,0.77,0.95,0.80,0.70,0.91,,,,,,,,,,"Adjusted for age (5-year intervals), education (? 12, 13–15, 16, 17+ years), occupation (professional/managerial, sales/clerical, service/crafts/operative/farmer, other), marital status (single, divorced/separated/widowed, married/partnered), and geographic region (West vs. non-West), and mutually adjusted for each form of physical activity (in categories above). and body mass index (< 20, 20–24, 25–29, 30+), preexisting health conditions (cardiovascular disease, diabetes, or cancer vs. none), energy intake (< 1000, 1000–1499, 1500+), smoking (current, past, never), current alcohol consumption (drinks/week), and child care responsibilities (yes vs. no).",1,,,0.89,0.83,0.95,0.85,0.78,0.92,0.74,0.68,0.81,0.72,0.66,0.8,0.81,0.72,0.92,0.75,0.65,0.87,,,,,,,,,,,,,,,,,,
